categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,tags,title,videoId,viewCount
27,UCeVMnSShP_Iviwkknt83cww,CodeWithHarry,12384,357,0,38027,"['Python Tutorial in Hindi', 'Learn Python in Hindi', 'Python Full Course in Hindi', 'Python Tutorial for beginners', 'python hindi', 'complete python tutorial', 'python tutorial by harry', 'python tutorial code with harry', 'python tutorial by Harry bhai', 'python tutorial in hindi', 'python class 10 cbse', 'python tutorial', 'python class 12', 'learn python for free', 'python course in hindi free', 'hindi course python', 'learn python hindi', 'hindi tutorial on python', 'python programming tutorial in hindi']",Python Tutorial For Beginners In Hindi (With Notes) 🔥,gfDE2a7MKjA,556091
27,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,35553,3498,0,448185,"['python tutorial', 'python', 'python for beginners', 'python tutorial for beginners', 'learn python', 'python crash course', 'python 2019', 'python tutorial for beginners full', 'python (programming language)', 'python basics', 'python course', 'python from scratch', 'python full course', 'python language', 'python programming', 'python programming language', 'python programming tutorial', 'getting started with python', 'learn python programming', 'web development', 'mosh hamedani', 'machine learning', 'python 2020']",Python Tutorial - Python for Beginners [Full Course],_uQrJ0TkZlc,14456302
27,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,28734,5361,0,484906,"['python', 'python tutorial', 'python language', 'python full course', 'python course', 'learn python', 'learn python programming', 'python tutorial for beginners', 'python tutorial 2018', 'python programming tutorial', 'python programming language', 'software development', 'programming tutorial', 'freecodecamp']",Learn Python - Full Course for Beginners [Tutorial],rfscVS0vtbw,19716273
27,UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,771,936,0,46651,"['yt:cc=on', 'python', 'python tutorial', 'python tutorial for beginners', 'python full course', 'python programming', 'learn python', 'python crash course', 'python training', 'python programming tutorial', 'learn python programming', 'python tutorials', 'python course', 'best python course', 'python gui libraries', 'python data science libraries', 'python loops', 'python learning', 'edureka', 'python from scratch', 'python edureka', 'python for beginners', 'python language', 'python basics', 'Introduction to python']",Python Full Course - Learn Python in 12 Hours | Python Tutorial For Beginners | Edureka,WGJJIrtnfpk,2136553
27,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,1540,98,0,11090,"['python', 'python tutorial', 'python for beginners', 'learn python', 'python crash course', 'python course', 'python 2020', 'python tutorial for beginners', 'python basics', 'python programming', 'mosh hamedani', 'code with mosh', 'programming with mosh', 'programming', 'web development', 'python from scratch', 'learn python programming', 'python 3']",Python Tutorial - Python for Beginners [2020],kqtD5dpn9C8,281972
27,UC4fxiAHHYmtQB4QYT41isnA,Vamsi Bhavani,46,7,0,552,"['python', 'python in telugu', 'python full', 'python in 30 minutes', 'python in 1 hour', 'learn python in 1 hour', 'learn python in telugu', 'python telugu', 'vamsi bhavani', 'python programming', 'python language', 'programming in telugu', 'telugu python', 'telugu python language', 'python tutorial in telugu', 'python programming in telugu']",Python in Telugu | Complete Python in 50 minutes | A to Z in Python for beginners | Vamsi Bhavani,TQ6AwO0sdvA,15128
27,UC63URkuUvnugRBeTNqmToKg,Sundeep Saradhi Kanthety,36,4,0,373,"['SUNDEEP', 'SARADHI', 'KANTHETY', 'PYTHON', 'PROGRAMMING', 'FEATURES', 'APPLICATIONS', 'INTERPRETER', 'PYTHON SHELL', 'INTRODUCTION', 'BEGINNERS', 'PLATFORM INDEPENDENT', 'PYTHON BASICS', 'PYTHON FUNDAMENTALS', 'LIST', 'SET', 'TUPLES', 'DICTIONARY', 'FUNCTIONS', 'LIBRARIES', 'PYTHON IN TELUGU', 'TELUGU TUTORIAL', 'PYTHON FIR BEGINNERS', 'indentation', 'control structures', 'operators', 'membership', 'identity', 'python in single video', 'files', 'loops', 'conditional statements', 'applications', 'variables', 'identifiers', 'recursion', 'types of arguments', 'complete python']",PYTHON TUTORIAL FOR BEGINNERS IN 6 HOURS (తెలుగు లో),9hVzEKZQyMU,5300
27,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,759,329,0,27809,"['what is python', 'why python', 'why learn python', 'python applications', 'what can you do with python', 'what is python used for', 'why to learn python', 'why you should learn python programming', 'programming language', 'python (programming language)', 'why you need to learn python', 'why should i learn python', 'why learn python programming', 'why learn python programming language', 'why learn python first', 'why learn python coding', 'coding', 'why learn python 2019']",What is Python? Why Python is So Popular?,Y8Tko2YC5hA,799345
22,UCN3-BVMnr44LIUheSuppw1A,Quick Support,844,421,0,24139,"['What is Python With Full Information?', 'What is Python With Full Information in Hindi?', 'What is python used for', 'Python software', 'Learn python', 'Python programming examples', 'Features of python', 'Guido Van Rossum', 'What is python?', 'Python Language', 'Python Language History', 'Python Language Video in Hindi']",What is Python With Full Information? – [Hindi] – Quick Support,3dy_PYF9xOI,534690
27,UCObs0kLIrDjX2LLSybqNaEA,Great Learning,2319,416,0,28934,"['Great Learning', 'Great Lakes', 'Python Tutorial in Hindi', 'Python in Hindi', 'Learn Python in Hindi', 'Python tutorial for beginners in Hindi', 'Python Full Course in Hindi', 'Python Hindi', 'Python Programming in Hindi', 'Python Tutorial in Hindi for beginners', 'Python Tutorial', 'Python', 'Python Tutorial for Beginners', 'Python programming', 'Python for beginners', 'Learn Python', 'Python for Data Science', 'Python for Data Analytics', 'Python for Machine Learning', 'Python Data Science Hindi', 'Python 2020']",Python Tutorial in Hindi | Learn Python in Hindi | Python Full Course in Hindi | Python Tutorial,eTyI-M50Hu4,837044
